Longitude,Latitude
342.70313,-69.6571167
342.700352,-69.6571338
342.697574,-69.6571509
342.694796,-69.6571679
342.692019,-69.6571849
342.689242,-69.6572019
342.686466,-69.6572188
342.683691,-69.6572357
342.680916,-69.6572525
342.678141,-69.6572693
342.675367,-69.657286
342.672594,-69.6573027
342.669821,-69.6573194
342.667048,-69.657336
342.664276,-69.6573526
342.661505,-69.6573691
342.658734,-69.6573856
342.655963,-69.657402
342.653193,-69.6574184
342.650424,-69.6574347
342.647655,-69.657451
342.644887,-69.6574673
342.642119,-69.6574835
342.639351,-69.6574997
342.636584,-69.6575158
342.633818,-69.6575319
342.631052,-69.657548
342.628287,-69.657564
342.625522,-69.65758
342.622758,-69.6575959
342.619994,-69.6576117
342.61723,-69.6576276
342.614467,-69.6576434
342.611705,-69.6576591
342.608943,-69.6576748
342.606182,-69.6576905
342.603421,-69.6577061
342.600661,-69.6577217
342.597901,-69.6577372
342.595142,-69.6577527
342.592383,-69.6577681
342.589625,-69.6577835
342.586867,-69.6577989
342.58411,-69.6578142
342.581353,-69.6578295
342.578597,-69.6578447
342.575841,-69.6578599
342.573086,-69.6578751
342.570331,-69.6578902
342.567577,-69.6579052
342.564823,-69.6579203
342.56207,-69.6579352
342.559317,-69.6579502
342.556565,-69.6579651
342.553813,-69.6579799
342.551062,-69.6579947
342.548311,-69.6580095
342.545561,-69.6580242
342.542811,-69.6580389
342.540062,-69.6580535
342.537313,-69.6580681
342.534565,-69.6580827
342.531817,-69.6580972
342.52907,-69.6581117
342.526323,-69.6581261
342.523577,-69.6581405
342.520831,-69.6581548
342.518086,-69.6581691
342.515341,-69.6581834
342.512597,-69.6581976
342.509853,-69.6582118
342.50711,-69.6582259
342.504367,-69.65824
342.501625,-69.658254
342.498883,-69.658268
342.496142,-69.658282
342.493401,-69.6582959
342.490661,-69.6583098
342.487921,-69.6583236
342.485182,-69.6583374
342.482443,-69.6583512
342.479705,-69.6583649
342.476967,-69.6583786
342.47423,-69.6583922
342.471493,-69.6584058
342.468757,-69.6584193
342.466021,-69.6584328
342.463286,-69.6584463
342.460551,-69.6584597
342.457817,-69.6584731
342.455083,-69.6584864
342.45235,-69.6584997
342.449617,-69.658513
342.446885,-69.6585262
342.444153,-69.6585394
342.441422,-69.6585525
342.438691,-69.6585656
342.435961,-69.6585786
342.433231,-69.6585916
342.430502,-69.6586046
342.427773,-69.6586175
342.425045,-69.6586304
342.422317,-69.6586432
342.41959,-69.658656
342.416863,-69.6586688
342.414137,-69.6586815
342.411411,-69.6586942
342.408685,-69.6587068
342.405961,-69.6587194
342.403236,-69.6587319
342.400512,-69.6587444
342.397789,-69.6587569
342.395066,-69.6587693
342.392344,-69.6587817
342.389622,-69.6587941
342.3869,-69.6588064
342.384179,-69.6588186
342.381459,-69.6588309
342.378739,-69.658843
342.37602,-69.6588552
342.373328,-69.6588671
342.702894,-69.656194
342.700115,-69.6562112
342.697337,-69.6562282
342.69456,-69.6562453
342.691783,-69.6562623
342.689007,-69.6562792
342.686231,-69.6562962
342.683455,-69.656313
342.68068,-69.6563298
342.677906,-69.6563466
342.675132,-69.6563634
342.672359,-69.6563801
342.669586,-69.6563967
342.666813,-69.6564133
342.664042,-69.6564299
342.66127,-69.6564464
342.658499,-69.6564629
342.655729,-69.6564793
342.652959,-69.6564957
342.65019,-69.656512
342.647421,-69.6565283
342.644653,-69.6565446
342.641885,-69.6565608
342.639118,-69.656577
342.636351,-69.6565931
342.633585,-69.6566092
342.630819,-69.6566253
342.628054,-69.6566413
342.625289,-69.6566572
342.622525,-69.6566731
342.619761,-69.656689
342.616998,-69.6567048
342.614235,-69.6567206
342.611473,-69.6567364
342.608711,-69.6567521
342.60595,-69.6567677
342.603189,-69.6567833
342.600429,-69.6567989
342.597669,-69.6568144
342.59491,-69.6568299
342.592152,-69.6568454
342.589393,-69.6568608
342.586636,-69.6568761
342.583879,-69.6568914
342.581122,-69.6569067
342.578366,-69.6569219
342.57561,-69.6569371
342.572855,-69.6569523
342.5701,-69.6569674
342.567346,-69.6569824
342.564593,-69.6569974
342.56184,-69.6570124
342.559087,-69.6570274
342.556335,-69.6570422
342.553583,-69.6570571
342.550832,-69.6570719
342.548082,-69.6570867
342.545331,-69.6571014
342.542582,-69.657116
342.539833,-69.6571307
342.537084,-69.6571453
342.534336,-69.6571598
342.531588,-69.6571743
342.528841,-69.6571888
342.526095,-69.6572032
342.523349,-69.6572176
342.520603,-69.6572319
342.517858,-69.6572462
342.515113,-69.6572605
342.512369,-69.6572747
342.509626,-69.6572889
342.506883,-69.657303
342.50414,-69.6573171
342.501398,-69.6573311
342.498656,-69.6573451
342.495915,-69.6573591
342.493175,-69.657373
342.490434,-69.6573869
342.487695,-69.6574007
342.484956,-69.6574145
342.482217,-69.6574283
342.479479,-69.657442
342.476741,-69.6574556
342.474004,-69.6574693
342.471268,-69.6574828
342.468532,-69.6574964
342.465796,-69.6575099
342.463061,-69.6575233
342.460326,-69.6575368
342.457592,-69.6575501
342.454858,-69.6575635
342.452125,-69.6575768
342.449393,-69.65759
342.44666,-69.6576032
342.443929,-69.6576164
342.441198,-69.6576295
342.438467,-69.6576426
342.435737,-69.6576556
342.433007,-69.6576686
342.430278,-69.6576816
342.427549,-69.6576945
342.424821,-69.6577074
342.422093,-69.6577202
342.419366,-69.657733
342.41664,-69.6577458
342.413913,-69.6577585
342.411188,-69.6577711
342.408462,-69.6577838
342.405738,-69.6577964
342.403013,-69.6578089
342.40029,-69.6578214
342.397566,-69.6578339
342.394844,-69.6578463
342.392121,-69.6578587
342.3894,-69.657871
342.386678,-69.6578833
342.383958,-69.6578956
342.381237,-69.6579078
342.378518,-69.65792
342.375798,-69.6579321
342.373107,-69.6579441
342.702657,-69.6552716
342.699879,-69.6552887
342.697101,-69.6553058
342.694324,-69.6553228
342.691547,-69.6553398
342.688771,-69.6553567
342.685995,-69.6553737
342.68322,-69.6553905
342.680445,-69.6554073
342.67767,-69.6554241
342.674897,-69.6554408
342.672123,-69.6554575
342.669351,-69.6554742
342.666578,-69.6554908
342.663807,-69.6555073
342.661036,-69.6555239
342.658265,-69.6555403
342.655495,-69.6555568
342.652725,-69.6555731
342.649956,-69.6555895
342.647187,-69.6556058
342.644419,-69.655622
342.641651,-69.6556383
342.638884,-69.6556544
342.636117,-69.6556706
342.633351,-69.6556866
342.630586,-69.6557027
342.627821,-69.6557187
342.625056,-69.6557346
342.622292,-69.6557505
342.619528,-69.6557664
342.616765,-69.6557822
342.614003,-69.655798
342.611241,-69.6558137
342.608479,-69.6558294
342.605718,-69.6558451
342.602957,-69.6558607
342.600197,-69.6558763
342.597438,-69.6558918
342.594679,-69.6559073
342.59192,-69.6559227
342.589162,-69.6559381
342.586405,-69.6559535
342.583648,-69.6559688
342.580891,-69.6559841
342.578135,-69.6559993
342.575379,-69.6560145
342.572624,-69.6560296
342.56987,-69.6560447
342.567116,-69.6560598
342.564362,-69.6560748
342.561609,-69.6560897
342.558857,-69.6561047
342.556105,-69.6561195
342.553353,-69.6561344
342.550602,-69.6561492
342.547852,-69.6561639
342.545102,-69.6561787
342.542353,-69.6561933
342.539604,-69.656208
342.536855,-69.6562226
342.534107,-69.6562371
342.53136,-69.6562516
342.528613,-69.6562661
342.525866,-69.6562805
342.52312,-69.6562949
342.520375,-69.6563092
342.51763,-69.6563235
342.514885,-69.6563377
342.512141,-69.6563519
